"";"levelName";"pathString";"word"
"1";"4ed8cec1-d8fc-4045-b44f-811af84983d2                ";"4ed8cec1-d8fc-4045-b44f-811af84983d2";"start-of-sequence"
"2";" ¦--fccb387a-641a-4a0e-bdee-f74dfaf1c112            ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112";"the"
"3";" ¦   ¦--4c2656b9-51cf-42f0-ac46-b64bf151c892        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/4c2656b9-51cf-42f0-ac46-b64bf151c892";"best"
"4";" ¦   ¦--940e20a4-f631-4245-abad-59e62c7643a8        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/940e20a4-f631-4245-abad-59e62c7643a8";"same"
"5";" ¦   ¦   ¦--b3ff6da9-b43f-43fb-8334-b171313a2f29    ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/940e20a4-f631-4245-abad-59e62c7643a8/b3ff6da9-b43f-43fb-8334-b171313a2f29";"thing"
"6";" ¦   ¦   °--5d7489fc-fe52-4a90-bde1-5eb9321c2587    ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/940e20a4-f631-4245-abad-59e62c7643a8/5d7489fc-fe52-4a90-bde1-5eb9321c2587";"time"
"7";" ¦   ¦--48c8b242-7b37-49b3-a5be-35cc719aa9ee        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/48c8b242-7b37-49b3-a5be-35cc719aa9ee";"world"
"8";" ¦   ¦--448431d3-adf9-48f8-8099-88b489c6df0b        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/448431d3-adf9-48f8-8099-88b489c6df0b";"new"
"9";" ¦   ¦--917e1519-8d69-498a-a166-1847e10f3d43        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/917e1519-8d69-498a-a166-1847e10f3d43";"first"
"10";" ¦   ¦--bcceaa00-582e-45d7-b971-bc38dc6010d9        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/bcceaa00-582e-45d7-b971-bc38dc6010d9";"day"
